Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,literacy_category,literacy_level,info
Afghanistan,1979,Female,15-24 year olds,Percent,11.1428,Low,Needs Improvement,Afghanistan - Needs Improvement
Afghanistan,2011,Female,15-24 year olds,Percent,32.1132230175575,Low,Needs Improvement,Afghanistan - Needs Improvement
Afghanistan,2015,Female,15-24 year olds,Percent,46.10599,Medium,Satisfactory,Afghanistan - Satisfactory
Afghanistan,1979,Male,15-24 year olds,Percent,45.79602,Medium,Satisfactory,Afghanistan - Satisfactory
Afghanistan,2011,Male,15-24 year olds,Percent,61.8790689519272,Medium,Satisfactory,Afghanistan - Satisfactory
Afghanistan,2015,Male,15-24 year olds,Percent,69.42052,Medium,Satisfactory,Afghanistan - Satisfactory
Afghanistan,1979,All genders,15-24 year olds,Percent,30.06635,Low,Needs Improvement,Afghanistan - Needs Improvement
Afghanistan,2011,All genders,15-24 year olds,Percent,46.9900508166446,Medium,Satisfactory,Afghanistan - Satisfactory
Afghanistan,2015,All genders,15-24 year olds,Percent,58.1549,Medium,Satisfactory,Afghanistan - Satisfactory
Albania,2001,All genders,15-24 year olds,Percent,99.43515,High,Satisfactory,Albania - Satisfactory
Albania,2008,All genders,15-24 year olds,Percent,98.83121,High,Satisfactory,Albania - Satisfactory
Albania,2011,All genders,15-24 year olds,Percent,98.79119,High,Satisfactory,Albania - Satisfactory
Albania,2001,Female,15-24 year olds,Percent,99.49808,High,Satisfactory,Albania - Satisfactory
Albania,2008,Female,15-24 year olds,Percent,99.12132,High,Satisfactory,Albania - Satisfactory
Albania,2011,Female,15-24 year olds,Percent,98.85624,High,Satisfactory,Albania - Satisfactory
Albania,2012,Female,15-24 year olds,Percent,99.02019,High,Satisfactory,Albania - Satisfactory
Albania,2015,Female,15-24 year olds,Percent,99.08326,High,Satisfactory,Albania - Satisfactory
Albania,2001,Male,15-24 year olds,Percent,99.36846,High,Satisfactory,Albania - Satisfactory
Albania,2008,Male,15-24 year olds,Percent,98.53712,High,Satisfactory,Albania - Satisfactory
Albania,2011,Male,15-24 year olds,Percent,98.73136,High,Satisfactory,Albania - Satisfactory
Albania,2012,Male,15-24 year olds,Percent,99.37598,High,Satisfactory,Albania - Satisfactory
Albania,2015,Male,15-24 year olds,Percent,98.97822,High,Satisfactory,Albania - Satisfactory
Albania,2012,All genders,15-24 year olds,Percent,99.2314,High,Satisfactory,Albania - Satisfactory
Albania,2015,All genders,15-24 year olds,Percent,99.0292,High,Satisfactory,Albania - Satisfactory
Algeria,1987,All genders,15-24 year olds,Percent,74.32727,High,Satisfactory,Algeria - Satisfactory
Algeria,2002,All genders,15-24 year olds,Percent,90.13721,High,Satisfactory,Algeria - Satisfactory
Algeria,2006,All genders,15-24 year olds,Percent,91.77964,High,Satisfactory,Algeria - Satisfactory
Algeria,2008,All genders,15-24 year olds,Percent,93.76733,High,Satisfactory,Algeria - Satisfactory
Algeria,2015,All genders,15-24 year olds,Percent,96.7526,High,Satisfactory,Algeria - Satisfactory
Algeria,1987,Female,15-24 year olds,Percent,62.21148,Medium,Satisfactory,Algeria - Satisfactory
Algeria,2002,Female,15-24 year olds,Percent,86.13399,High,Satisfactory,Algeria - Satisfactory
Algeria,2006,Female,15-24 year olds,Percent,89.13824,High,Satisfactory,Algeria - Satisfactory
Algeria,2008,Female,15-24 year olds,Percent,91.73993,High,Satisfactory,Algeria - Satisfactory
Algeria,2015,Female,15-24 year olds,Percent,96.29026,High,Satisfactory,Algeria - Satisfactory
Algeria,1987,Male,15-24 year olds,Percent,86.23009,High,Satisfactory,Algeria - Satisfactory
Algeria,2002,Male,15-24 year olds,Percent,94.05754,High,Satisfactory,Algeria - Satisfactory
Algeria,2006,Male,15-24 year olds,Percent,94.38148,High,Satisfactory,Algeria - Satisfactory
Algeria,2008,Male,15-24 year olds,Percent,95.74706,High,Satisfactory,Algeria - Satisfactory
Algeria,2015,Male,15-24 year olds,Percent,97.20032,High,Satisfactory,Algeria - Satisfactory
American Samoa,1980,All genders,15-24 year olds,Percent,97.65421,High,Satisfactory,American Samoa - Satisfactory
American Samoa,1980,Female,15-24 year olds,Percent,97.44365,High,Satisfactory,American Samoa - Satisfactory
American Samoa,1980,Male,15-24 year olds,Percent,97.88862,High,Satisfactory,American Samoa - Satisfactory
Angola,2001,Male,15-24 year olds,Percent,83.77693,High,Satisfactory,Angola - Satisfactory
Angola,2014,Male,15-24 year olds,Percent,78.98879,High,Satisfactory,Angola - Satisfactory
Angola,2015,Male,15-24 year olds,Percent,78.61457,High,Satisfactory,Angola - Satisfactory
Angola,2001,Female,15-24 year olds,Percent,63.18212,Medium,Satisfactory,Angola - Satisfactory
Angola,2014,Female,15-24 year olds,Percent,66.98237,Medium,Satisfactory,Angola - Satisfactory
Angola,2001,All genders,15-24 year olds,Percent,72.19449,High,Satisfactory,Angola - Satisfactory
Angola,2014,All genders,15-24 year olds,Percent,72.95314,High,Satisfactory,Angola - Satisfactory
Angola,2015,All genders,15-24 year olds,Percent,72.92679,High,Satisfactory,Angola - Satisfactory
Angola,2015,Female,15-24 year olds,Percent,67.28906,Medium,Satisfactory,Angola - Satisfactory
Anguilla,1984,Female,15-24 year olds,Percent,99.10314,High,Satisfactory,Anguilla - Satisfactory
Anguilla,1984,All genders,15-24 year olds,Percent,99.11374,High,Satisfactory,Anguilla - Satisfactory
Anguilla,1984,Male,15-24 year olds,Percent,99.12409,High,Satisfactory,Anguilla - Satisfactory
Argentina,1980,All genders,15-24 year olds,Percent,96.88254,High,Satisfactory,Argentina - Satisfactory
Argentina,1991,All genders,15-24 year olds,Percent,98.30464,High,Satisfactory,Argentina - Satisfactory
Argentina,2001,All genders,15-24 year olds,Percent,98.91666,High,Satisfactory,Argentina - Satisfactory
Argentina,2014,All genders,15-24 year olds,Percent,99.28286,High,Satisfactory,Argentina - Satisfactory
Argentina,2015,All genders,15-24 year olds,Percent,99.30437,High,Satisfactory,Argentina - Satisfactory
Argentina,1980,Female,15-24 year olds,Percent,97.30248,High,Satisfactory,Argentina - Satisfactory
Argentina,1991,Female,15-24 year olds,Percent,98.54021,High,Satisfactory,Argentina - Satisfactory
Argentina,2001,Female,15-24 year olds,Percent,99.12767,High,Satisfactory,Argentina - Satisfactory
